Type	Level	Damage per Second	Hitpoints	Training Cost (Elixir)	Upgrade Cost (Elixir)	Laboratory Level Required	Upgrade Time (hours)	Town Hall Level Required	Regeneration Time (minutes)	Upgrade Cost (Dark Elixir)	Training Cost (Dark Elixir)
Mercenary	1	8	45	30	0	0	0	0	0	0	0
Mercenary	2	11	54	50	62500	1	6	0	0	0	0
Mercenary	3	14	65	75	187500	3	24	0	0	0	0
Mercenary	4	18	78	100	625000	5	72	0	0	0	0
Mercenary	5	23	95	125	1875000	6	120	0	0	0	0
Mercenary	6	26	110	190	5625000	7	240	0	0	0	0
Archer	1	7	20	65	0	0	0	0	0	0	0
Archer	2	9	23	100	62500	1	12	0	0	0	0
Archer	3	12	28	150	312500	3	48	0	0	0	0
Archer	4	16	33	200	937500	5	72	0	0	0	0
Archer	5	20	40	250	2812500	6	120	0	0	0	0
Archer	6	22	44	375	9375000	7	336	0	0	0	0
Saluki	1	3	25	30	0	0	0	0	0	0	0
Saluki	2	4	30	50	62500	1	12	0	0	0	0
Saluki	3	5	36	75	312500	3	48	0	0	0	0
Saluki	4	6	43	100	937500	5	72	0	0	0	0
Saluki	5	8	52	125	2812500	6	120	0	0	0	0
Giant	1	11	300	625	0	0	0	0	0	0	0
Giant	2	14	360	1250	125000	2	24	0	0	0	0
Giant	3	19	430	1875	312500	4	48	0	0	0	0
Giant	4	24	520	2500	937500	5	72	0	0	0	0
Giant	5	31	670	3125	2812500	6	120	0	0	0	0
Giant	6	37	800	3750	7500000	7	240	0	0	0	0
Gerbil	1	12	20	1250	0	0	0	0	0	0	0
Gerbil	2	16	24	1875	125000	2	24	0	0	0	0
Gerbil	3	24	29	2500	312500	4	48	0	0	0	0
Gerbil	4	32	35	3125	937500	5	72	0	0	0	0
Gerbil	5	46	42	3750	2812500	6	120	0	0	0	0
Falcon	1	25	150	2500	0	0	0	0	0	0	0
Falcon	2	32	180	3125	187500	2	24	0	0	0	0
Falcon	3	48	216	3750	562500	4	48	0	0	0	0
Falcon	4	72	280	4375	1687500	5	72	0	0	0	0
Falcon	5	108	390	5000	3125000	6	120	0	0	0	0
Falcon	6	162	545	5625	7500000	7	240	0	0	0	0
Rifleman	1	50	75	1875	0	0	0	0	0	0	0
Rifleman	2	70	90	2500	187500	3	24	0	0	0	0
Rifleman	3	90	108	3125	562500	4	48	0	0	0	0
Rifleman	4	125	130	3750	1687500	5	72	0	0	0	0
Rifleman	5	170	156	4375	3125000	6	120	0	0	0	0
DoveNet	1	9	500	6250	0	0	0	0	0	0	0
DoveNet	2	11	600	7500	937500	5	72	0	0	0	0
DoveNet	3	14	840	10000	1875000	6	120	0	0	0	0
GiantFalcon	1	35	1900	31250	0	0	0	0	0	0	0
GiantFalcon	2	40	2100	37500	2500000	5	168	0	0	0	0
GiantFalcon	3	45	2300	45000	3750000	6	240	0	0	0	0
Camel	1	240	2800	37500	0	0	0	0	0	0	0
Camel	2	270	3100	43750	3750000	6	240	0	0	0	0
Camel	3	300	3400	52500	7500000	6	288	0	0	0	0
Minion	1	35	55	0	0	0	0	0	0	0	10
Minion	2	38	60	0	0	5	120	0	0	12500	10
Minion	3	42	66	0	0	6	144	0	0	25000	10
Minion	4	46	72	0	0	6	168	0	0	37500	10
Minion	5	50	80	0	0	7	240	0	0	62500	15
Valkyrie	1	60	750	0	0	0	0	0	0	0	125
Valkyrie	2	66	825	0	0	6	240	0	0	62500	150
Valkyrie	3	72	910	0	0	7	288	0	0	75000	175
Valkyrie	4	80	1000	0	0	7	336	0	0	87500	200
HogRider	1	50	300	0	0	0	0	0	0	0	40
HogRider	2	58	345	0	0	5	192	0	0	25000	45
HogRider	3	66	400	0	0	6	240	0	0	37500	50
HogRider	4	76	460	0	0	6	288	0	0	50000	55
HogRider	5	90	525	0	0	7	336	0	0	62500	65
Hero	1	150	1500	0	0	0	0	0	60	12500	0
Hero	2	156	1560	0	0	0	0	0	64	15625	0
Hero	3	162	1622	0	0	0	0	0	68	18750	0
Hero	4	169	1687	0	0	0	0	0	72	21875	0
Hero	5	175	1755	0	0	0	0	0	76	25000	0
Hero	6	182	1825	0	0	0	0	0	80	28125	0
Hero	7	190	1898	0	0	0	0	0	84	31250	0
Hero	8	197	1974	0	0	0	0	0	88	37500	0
Hero	9	205	2053	0	0	0	0	0	92	43750	0
Hero	10	213	2135	0	0	0	0	0	96	50000	0
Hero	11	222	2220	0	0	0	0	0	100	56250	0
Hero	12	231	2309	0	0	0	0	0	104	62500	0
Hero	13	240	2402	0	0	0	0	0	108	68750	0
Hero	14	250	2498	0	0	0	0	0	112	75000	0
Hero	15	260	2598	0	0	0	0	0	116	81250	0
Hero	16	270	2701	0	0	0	0	0	120	87500	0
Hero	17	281	2809	0	0	0	0	0	124	93750	0
Hero	18	292	2922	0	0	0	0	0	128	100000	0
Hero	19	304	3039	0	0	0	0	0	132	106250	0
Hero	20	316	3160	0	0	0	0	0	136	112500	0
Hero	21	329	3287	0	0	0	0	0	140	125000	0
Hero	22	342	3418	0	0	0	0	0	144	137500	0
Hero	23	355	3555	0	0	0	0	0	148	150000	0
Hero	24	370	3697	0	0	0	0	0	152	162500	0
Hero	25	384	3845	0	0	0	0	0	156	175000	0
Hero	26	400	3999	0	0	0	0	0	160	187500	0
Hero	27	416	4159	0	0	0	0	0	164	200000	0
